Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,103,0.0,00:00,0,0,,0.00,,,
,00:00:01,103,0.0,00:00,0,0,,0.00,,,
,00:00:02,103,0.0,00:00,0,0,,0.00,,,
,00:00:03,104,0.0,00:00,30,0,,0.00,,,
,00:00:04,104,0.0,00:00,57,0,,0.00,,,
,00:00:05,104,2.8,21:26,71,0,,0.00,,,
,00:00:06,104,3.9,15:23,79,0,,0.00,,,
,00:00:07,104,4.9,12:15,85,0,,2.40,,,
,00:00:08,105,5.7,10:32,86,0,,6.04,,,
,00:00:09,105,5.9,10:10,86,0,,9.68,,,
,00:00:10,107,6.0,10:00,85,0,,12.50,,,
,00:00:11,107,6.1,09:50,85,0,,15.10,,,
,00:00:12,111,6.1,09:50,85,0,,18.40,,,
,00:00:13,111,6.1,09:50,83,0,,21.30,,,
,00:00:14,112,6.4,09:23,82,0,,24.40,,,
,00:00:15,112,6.7,08:57,85,0,,27.50,,,
,00:00:16,112,7.0,08:34,86,0,,30.50,,,
,00:00:17,112,7.4,08:06,86,0,,33.30,,,
,00:00:18,119,7.8,07:42,86,0,,36.40,,,
,00:00:19,119,8.0,07:30,86,0,,39.50,,,
,00:00:20,128,8.2,07:19,86,0,,42.10,,,
,00:00:21,128,8.4,07:09,85,0,,44.60,,,
,00:00:22,128,8.6,06:59,85,0,,47.10,,,
,00:00:23,128,8.6,06:59,85,0,,50.10,,,
,00:00:24,128,8.7,06:54,85,0,,53.10,,,
,00:00:25,135,8.7,06:54,85,0,,55.60,,,
,00:00:26,135,8.7,06:54,66,0,,57.90,,,
,00:00:27,135,8.6,06:59,66,0,,60.00,,,
,00:00:28,135,8.7,06:54,59,0,,62.50,,,
,00:00:29,139,8.5,07:04,63,0,,64.90,,,
,00:00:30,139,8.4,07:09,75,0,,67.40,,,
,00:00:31,139,8.3,07:14,84,0,,69.60,,,
,00:00:32,139,8.1,07:24,85,0,,71.90,,,
,00:00:33,139,7.9,07:36,86,0,,74.10,,,
,00:00:34,142,7.7,07:48,85,0,,76.40,,,
,00:00:35,147,7.6,07:54,85,0,,78.80,,,
,00:00:36,150,7.5,08:00,85,0,,81.30,,,
,00:00:37,154,7.4,08:06,85,0,,84.00,,,
,00:00:38,154,7.1,08:27,85,0,,86.40,,,
,00:00:39,156,6.8,08:49,85,0,,88.50,,,
,00:00:40,158,6.5,09:14,85,0,,90.60,,,
,00:00:41,158,6.1,09:50,85,0,,92.60,,,
,00:00:42,159,5.8,10:21,85,0,,94.30,,,
,00:00:43,159,5.6,10:43,86,0,,95.90,,,
,00:00:44,162,5.6,10:43,86,0,,97.50,,,
,00:00:45,162,5.7,10:32,86,0,,99.20,,,
,00:00:46,162,6.1,09:50,86,0,,101.00,,,
,00:00:47,164,6.5,09:14,85,0,,103.10,,,
,00:00:48,165,6.7,08:57,85,0,,105.70,,,
,00:00:49,165,6.9,08:42,86,0,,108.40,,,
,00:00:50,166,7.0,08:34,86,0,,111.40,,,
,00:00:51,166,6.9,08:42,86,0,,114.30,,,
,00:00:52,166,6.8,08:49,86,0,,117.30,,,
,00:00:53,166,6.7,08:57,86,0,,120.00,,,
,00:00:54,166,6.6,09:05,86,0,,122.80,,,
,00:00:55,166,6.7,08:57,85,0,,125.30,,,
,00:00:56,166,6.8,08:49,85,0,,127.70,,,
,00:00:57,168,6.9,08:42,86,56,,130.10,,,
,00:00:58,168,7.0,08:34,86,56,,132.60,,,
,00:00:59,168,7.1,08:27,86,56,,135.00,,,
,00:01:00,170,7.2,08:20,86,56,,137.40,,,
,00:01:01,170,7.2,08:20,86,56,,139.90,,,
,00:01:02,170,7.3,08:13,86,56,,142.30,,,
,00:01:03,170,7.3,08:13,85,56,,144.60,,,
,00:01:04,170,7.5,08:00,85,56,,147.00,,,
,00:01:05,171,7.5,08:00,85,56,,149.30,,,
,00:01:06,165,7.6,07:54,85,56,,151.90,,,
,00:01:07,165,7.7,07:48,85,56,,154.70,,,
,00:01:08,165,7.8,07:42,85,56,,157.60,,,
,00:01:09,154,7.9,07:36,85,56,,160.50,,,
,00:01:10,154,7.9,07:36,86,56,,163.40,,,
,00:01:11,154,8.0,07:30,86,55,,166.20,,,
,00:01:12,154,8.0,07:30,86,55,,168.80,,,
,00:01:13,154,8.1,07:24,86,55,,171.00,,,
,00:01:14,154,8.2,07:19,86,55,,172.70,,,
,00:01:15,154,8.3,07:14,86,55,,174.30,,,
,00:01:16,151,8.5,07:04,86,55,,176.60,,,
,00:01:17,151,8.6,06:59,86,55,,179.40,,,
,00:01:18,154,8.8,06:49,86,55,,181.90,,,
,00:01:19,154,8.9,06:44,86,55,,184.90,,,
,00:01:20,154,9.1,06:36,86,55,,188.54,,,
,00:01:21,159,9.2,06:31,86,55,,192.18,,,
,00:01:22,162,9.3,06:27,86,55,,195.82,,,
,00:01:23,162,9.4,06:23,86,55,,199.46,,,
,00:01:24,162,9.5,06:19,86,55,,203.09,,,
,00:01:25,163,9.6,06:15,86,55,,206.73,,,
,00:01:26,163,9.8,06:07,86,55,,210.37,,,
,00:01:27,163,9.8,06:07,87,55,,214.01,,,
,00:01:28,164,9.9,06:04,87,55,,217.65,,,
,00:01:29,165,10.0,06:00,87,56,,221.29,,,
,00:01:30,165,10.1,05:56,87,56,,224.80,,,
,00:01:31,165,10.1,05:56,87,56,,227.80,,,
,00:01:32,165,10.2,05:53,87,56,,230.80,,,
,00:01:33,163,10.2,05:53,87,56,,233.60,,,
,00:01:34,164,10.3,05:50,87,56,,236.30,,,
,00:01:35,164,10.3,05:50,87,56,,239.10,,,
,00:01:36,164,10.3,05:50,87,56,,241.80,,,
,00:01:37,165,10.3,05:50,88,56,,244.50,,,
,00:01:38,166,10.4,05:46,88,56,,247.20,,,
,00:01:39,167,10.4,05:46,87,56,,250.20,,,
,00:01:40,167,10.4,05:46,86,56,,253.00,,,
,00:01:41,168,10.5,05:43,86,56,,255.90,,,
,00:01:42,169,10.5,05:43,86,56,,258.80,,,
,00:01:43,164,10.5,05:43,86,55,,261.60,,,
,00:01:44,161,10.5,05:43,87,55,,264.40,,,
,00:01:45,161,10.5,05:43,88,55,,267.30,,,
,00:01:46,161,10.5,05:43,87,55,,269.80,,,
,00:01:47,164,10.4,05:46,87,53,,271.90,,,
,00:01:48,164,10.4,05:46,87,53,,273.60,,,
,00:01:49,164,10.4,05:46,87,52,,275.50,,,
,00:01:50,166,10.4,05:46,87,52,,277.70,,,
,00:01:51,166,10.3,05:50,87,51,,280.00,,,
,00:01:52,166,10.3,05:50,87,51,,282.40,,,
,00:01:53,167,10.3,05:50,87,49,,284.60,,,
,00:01:54,168,10.3,05:50,87,49,,286.90,,,
,00:01:55,168,10.3,05:50,87,48,,289.30,,,
,00:01:56,168,10.2,05:53,87,48,,292.20,,,
,00:01:57,168,10.2,05:53,87,46,,295.40,,,
,00:01:58,168,10.2,05:53,87,46,,298.80,,,
,00:01:59,168,10.2,05:53,87,45,,302.00,,,
,00:02:00,168,10.2,05:53,87,45,,304.90,,,
,00:02:01,161,10.2,05:53,87,43,,307.80,,,
,00:02:02,161,10.2,05:53,87,43,,310.70,,,
,00:02:03,162,10.2,05:53,87,42,,313.80,,,
,00:02:04,162,10.2,05:53,87,42,,316.90,,,
,00:02:05,162,10.2,05:53,87,41,,320.00,,,
,00:02:06,162,10.2,05:53,87,41,,323.00,,,
,00:02:07,166,10.1,05:56,87,40,,325.90,,,
,00:02:08,166,10.1,05:56,87,40,,328.90,,,
,00:02:09,166,10.1,05:56,87,39,,331.60,,,
,00:02:10,158,10.2,05:53,86,39,,334.10,,,
,00:02:11,157,10.2,05:53,86,39,,336.80,,,
,00:02:12,159,10.1,05:56,86,39,,339.70,,,
,00:02:13,162,10.2,05:53,86,38,,342.50,,,
,00:02:14,164,10.2,05:53,86,38,,345.00,,,
,00:02:15,164,10.2,05:53,86,37,,347.60,,,
,00:02:16,164,10.2,05:53,86,37,,350.60,,,
,00:02:17,162,10.2,05:53,86,37,,353.80,,,
,00:02:18,162,10.2,05:53,86,37,,357.10,,,
,00:02:19,163,10.2,05:53,86,36,,360.30,,,
,00:02:20,165,10.3,05:50,86,36,,363.40,,,
,00:02:21,165,10.3,05:50,86,36,,366.30,,,
,00:02:22,167,10.3,05:50,86,36,,369.50,,,
,00:02:23,167,10.4,05:46,86,36,,372.80,,,
,00:02:24,168,10.4,05:46,86,36,,376.30,,,
,00:02:25,168,10.4,05:46,86,36,,379.60,,,
,00:02:26,169,10.4,05:46,86,36,,382.70,,,
,00:02:27,169,10.4,05:46,86,35,,385.60,,,
,00:02:28,169,10.3,05:50,86,35,,388.40,,,
,00:02:29,169,10.4,05:46,86,35,,390.90,,,
,00:02:30,169,10.4,05:46,86,35,,393.50,,,
,00:02:31,169,10.3,05:50,86,35,,396.00,,,
,00:02:32,169,10.3,05:50,86,35,,398.60,,,
,00:02:33,169,10.3,05:50,86,35,,401.20,,,
,00:02:34,169,10.3,05:50,86,35,,403.70,,,
,00:02:35,169,10.3,05:50,86,35,,406.20,,,
,00:02:36,169,10.3,05:50,86,35,,409.00,,,
,00:02:37,169,10.2,05:53,86,35,,411.80,,,
,00:02:38,160,10.2,05:53,86,35,,414.70,,,
,00:02:39,160,10.2,05:53,86,35,,417.70,,,
,00:02:40,160,10.2,05:53,86,35,,420.40,,,
,00:02:41,160,10.2,05:53,86,35,,423.10,,,
,00:02:42,160,10.2,05:53,86,35,,425.60,,,
,00:02:43,160,10.2,05:53,86,35,,428.30,,,
,00:02:44,160,10.2,05:53,86,35,,431.20,,,
,00:02:45,156,10.2,05:53,86,35,,434.20,,,
,00:02:46,156,10.2,05:53,86,35,,437.20,,,
,00:02:47,156,10.3,05:50,86,35,,440.20,,,
,00:02:48,160,10.3,05:50,86,35,,443.40,,,
,00:02:49,160,10.3,05:50,86,36,,446.70,,,
,00:02:50,160,10.3,05:50,86,36,,450.20,,,
,00:02:51,160,10.4,05:46,87,36,,453.60,,,
,00:02:52,160,10.4,05:46,88,36,,457.00,,,
,00:02:53,160,10.4,05:46,87,36,,460.20,,,
,00:02:54,160,10.4,05:46,87,36,,463.30,,,
,00:02:55,175,10.5,05:43,87,36,,466.40,,,
,00:02:56,175,10.5,05:43,87,36,,469.60,,,
,00:02:57,171,10.5,05:43,87,36,,472.60,,,
,00:02:58,171,10.5,05:43,87,36,,475.50,,,
,00:02:59,171,10.5,05:43,88,36,,478.20,,,
,00:03:00,171,10.5,05:43,88,36,,481.00,,,
,00:03:01,171,10.6,05:40,88,36,,483.90,,,
,00:03:02,171,10.6,05:40,87,36,,487.00,,,
,00:03:03,165,10.6,05:40,87,36,,490.10,,,
,00:03:04,165,10.5,05:43,87,36,,493.10,,,
,00:03:05,165,10.6,05:40,87,36,,496.00,,,
,00:03:06,159,10.6,05:40,88,36,,498.70,,,
,00:03:07,159,10.6,05:40,88,36,,501.30,,,
,00:03:08,159,10.6,05:40,88,36,,504.10,,,
,00:03:09,156,10.6,05:40,88,36,,507.00,,,
,00:03:10,159,10.6,05:40,87,36,,509.80,,,
,00:03:11,159,10.6,05:40,88,36,,512.60,,,
,00:03:12,163,10.6,05:40,87,36,,515.20,,,
