Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,97,1.0,60:00,0,0,,0.00,,,
,00:00:01,97,1.0,60:00,0,0,,0.00,,,
,00:00:02,97,1.5,40:00,0,0,,0.20,,,
,00:00:03,97,2.4,25:00,0,0,,0.30,,,
,00:00:04,97,3.7,16:13,42,0,,0.90,,,
,00:00:05,97,4.9,12:15,63,0,,4.10,,,
,00:00:06,97,5.9,10:10,74,0,,7.70,,,
,00:00:07,97,6.7,08:57,79,0,,10.20,,,
,00:00:08,97,7.0,08:34,83,0,,12.10,,,
,00:00:09,97,6.9,08:42,84,0,,13.80,,,
,00:00:10,97,6.8,08:49,84,0,,16.40,,,
,00:00:11,164,6.6,09:05,84,0,,19.60,,,
,00:00:12,164,6.3,09:31,83,0,,22.70,,,
,00:00:13,164,5.8,10:21,80,0,,25.40,,,
,00:00:14,151,5.2,11:32,81,0,,27.20,,,
,00:00:15,151,4.6,13:03,83,0,,28.30,,,
,00:00:16,151,4.7,12:46,84,0,,29.00,,,
,00:00:17,151,4.9,12:15,84,0,,30.20,,,
,00:00:18,159,5.5,10:55,84,0,,31.60,,,
,00:00:19,159,6.7,08:57,84,0,,33.10,,,
,00:00:20,157,7.7,07:48,86,0,,35.00,,,
,00:00:21,157,8.5,07:04,86,0,,37.60,,,
,00:00:22,157,8.7,06:54,86,0,,40.70,,,
,00:00:23,158,8.6,06:59,86,0,,43.90,,,
,00:00:24,160,8.0,07:30,86,0,,47.00,,,
,00:00:25,163,8.0,07:30,86,0,,50.00,,,
,00:00:26,163,7.7,07:48,88,0,,53.00,,,
,00:00:27,166,8.3,07:14,89,0,,55.90,,,
,00:00:28,166,8.8,06:49,89,0,,58.90,,,
,00:00:29,166,9.2,06:31,88,0,,62.20,,,
,00:00:30,166,9.0,06:40,86,0,,65.20,,,
,00:00:31,160,8.6,06:59,86,0,,68.10,,,
,00:00:32,160,7.7,07:48,85,0,,70.70,,,
,00:00:33,160,6.8,08:49,84,0,,73.30,,,
,00:00:34,153,5.8,10:21,83,0,,75.70,,,
,00:00:35,154,5.3,11:19,83,0,,78.00,,,
,00:00:36,154,4.7,12:46,84,0,,80.00,,,
,00:00:37,154,4.1,14:38,84,0,,81.60,,,
,00:00:38,154,3.5,17:09,84,0,,83.00,,,
,00:00:39,154,3.3,18:11,84,0,,83.90,,,
,00:00:40,154,2.8,21:26,84,0,,84.70,,,
,00:00:41,154,2.6,23:05,83,0,,85.40,,,
,00:00:42,154,2.6,23:05,83,0,,86.10,,,
,00:00:43,154,2.8,21:26,83,0,,87.30,,,
,00:00:44,154,2.9,20:41,84,0,,88.60,,,
,00:00:45,154,2.9,20:41,84,0,,90.00,,,
,00:00:46,154,3.4,17:39,84,0,,91.30,,,
,00:00:47,142,3.9,15:23,84,0,,92.80,,,
,00:00:48,142,4.4,13:38,84,5,,94.60,,,
,00:00:49,142,5.0,12:00,84,5,,96.80,,,
,00:00:50,147,5.8,10:21,84,5,,99.00,,,
,00:00:51,147,5.9,10:10,84,5,,101.60,,,
,00:00:52,149,6.0,10:00,84,5,,104.20,,,
,00:00:53,151,6.1,09:50,84,5,,107.30,,,
,00:00:54,151,6.2,09:41,84,5,,110.40,,,
,00:00:55,151,6.3,09:31,84,5,,113.50,,,
,00:00:56,154,6.4,09:23,84,5,,116.30,,,
,00:00:57,154,6.5,09:14,84,5,,118.80,,,
,00:00:58,154,6.6,09:05,84,6,,121.30,,,
,00:00:59,153,6.7,08:57,84,6,,123.60,,,
,00:01:00,153,6.8,08:49,84,6,,125.90,,,
,00:01:01,156,6.9,08:42,84,6,,128.20,,,
,00:01:02,156,7.0,08:34,84,6,,130.70,,,
,00:01:03,156,7.1,08:27,84,6,,133.40,,,
,00:01:04,151,7.1,08:27,84,7,,136.00,,,
,00:01:05,151,7.2,08:20,84,7,,138.70,,,
,00:01:06,150,7.3,08:13,84,7,,141.60,,,
,00:01:07,150,7.4,08:06,83,7,,144.50,,,
,00:01:08,152,7.5,08:00,83,8,,147.50,,,
,00:01:09,154,7.6,07:54,83,8,,150.60,,,
,00:01:10,154,7.6,07:54,83,8,,153.40,,,
,00:01:11,157,7.7,07:48,84,8,,155.80,,,
,00:01:12,159,7.7,07:48,84,9,,158.10,,,
,00:01:13,161,7.8,07:42,84,9,,160.50,,,
,00:01:14,162,7.8,07:42,84,9,,162.90,,,
,00:01:15,164,7.8,07:42,84,9,,165.00,,,
,00:01:16,164,7.8,07:42,84,10,,166.50,,,
,00:01:17,164,7.8,07:42,84,10,,167.80,,,
,00:01:18,164,7.8,07:42,84,11,,169.30,,,
,00:01:19,162,7.8,07:42,84,11,,170.70,,,
,00:01:20,162,7.8,07:42,84,12,,172.60,,,
,00:01:21,162,7.8,07:42,84,12,,174.40,,,
,00:01:22,162,7.8,07:42,84,13,,176.40,,,
,00:01:23,162,7.8,07:42,84,13,,178.30,,,
