Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,98,1.9,31:35,0,0,,0.30,,,
,00:00:01,98,2.7,22:13,0,0,,0.30,,,
,00:00:02,99,3.4,17:39,0,0,,0.40,,,
,00:00:03,100,4.5,13:20,0,0,,1.80,,,
,00:00:04,100,5.6,10:43,0,0,,3.60,,,
,00:00:05,101,6.5,09:14,41,0,,6.30,,,
,00:00:06,103,7.2,08:20,74,0,,9.30,,,
,00:00:07,104,7.7,07:48,74,0,,12.39,,,
,00:00:08,104,7.7,07:48,74,0,,15.20,,,
,00:00:09,105,7.5,08:00,79,0,,17.90,,,
,00:00:10,106,7.6,07:54,83,0,,20.40,,,
,00:00:11,107,7.6,07:54,84,0,,23.00,,,
,00:00:12,108,8.0,07:30,84,0,,25.80,,,
,00:00:13,109,8.3,07:14,84,0,,28.80,,,
,00:00:14,111,8.6,06:59,84,0,,31.50,,,
,00:00:15,111,8.7,06:54,84,0,,33.90,,,
,00:00:16,112,8.7,06:54,84,0,,36.20,,,
,00:00:17,112,8.7,06:54,84,0,,38.90,,,
,00:00:18,113,8.8,06:49,84,0,,41.70,,,
,00:00:19,114,8.8,06:49,84,0,,44.79,,,
,00:00:20,114,8.9,06:44,84,0,,47.80,,,
,00:00:21,113,8.9,06:44,84,0,,50.60,,,
,00:00:22,114,8.8,06:49,83,0,,53.30,,,
,00:00:23,115,8.8,06:49,83,0,,55.80,,,
,00:00:24,116,8.9,06:44,83,0,,58.40,,,
,00:00:25,117,8.9,06:44,83,0,,60.90,,,
,00:00:26,117,9.0,06:40,83,0,,63.50,,,
,00:00:27,118,9.0,06:40,83,0,,66.10,,,
,00:00:28,119,9.1,06:36,83,0,,68.60,,,
,00:00:29,119,9.1,06:36,83,0,,71.20,,,
,00:00:30,120,9.0,06:40,83,0,,73.60,,,
,00:00:31,120,9.0,06:40,83,0,,76.20,,,
,00:00:32,120,9.0,06:40,83,0,,78.80,,,
,00:00:33,120,9.0,06:40,83,0,,81.30,,,
,00:00:34,120,9.0,06:40,83,0,,83.80,,,
,00:00:35,120,9.0,06:40,84,0,,86.20,,,
,00:00:36,121,9.1,06:36,83,0,,88.60,,,
,00:00:37,121,9.1,06:36,83,0,,91.20,,,
,00:00:38,121,9.1,06:36,83,454,,93.80,,,
,00:00:39,121,9.0,06:40,83,454,,96.50,,,
,00:00:40,121,9.0,06:40,83,454,,99.00,,,
,00:00:41,120,9.0,06:40,83,454,,101.40,,,
,00:00:42,120,9.1,06:36,83,454,,103.70,,,
,00:00:43,120,9.1,06:36,83,454,,106.00,,,
,00:00:44,119,9.1,06:36,83,455,,108.40,,,
,00:00:45,118,9.1,06:36,83,455,,110.80,,,
,00:00:46,117,9.1,06:36,83,455,,113.10,,,
,00:00:47,115,9.1,06:36,83,455,,115.40,,,
,00:00:48,115,9.1,06:36,83,456,,117.70,,,
,00:00:49,114,9.1,06:36,83,456,,120.20,,,
,00:00:50,113,9.1,06:36,83,456,,122.70,,,
,00:00:51,112,9.1,06:36,83,456,,125.40,,,
,00:00:52,112,9.1,06:36,84,456,,128.00,,,
,00:00:53,112,9.1,06:36,84,456,,130.50,,,
,00:00:54,112,9.1,06:36,83,457,,133.10,,,
,00:00:55,112,9.1,06:36,83,457,,135.60,,,
,00:00:56,112,9.1,06:36,83,457,,138.20,,,
,00:00:57,113,9.1,06:36,83,457,,140.90,,,
,00:00:58,114,9.1,06:36,83,457,,143.50,,,
,00:00:59,115,9.1,06:36,83,457,,146.10,,,
,00:01:00,117,9.1,06:36,83,458,,148.80,,,
,00:01:01,118,9.1,06:36,83,458,,151.40,,,
,00:01:02,118,9.1,06:36,83,458,,154.00,,,
,00:01:03,120,9.2,06:31,83,458,,156.40,,,
,00:01:04,122,9.1,06:36,83,458,,159.00,,,
,00:01:05,123,9.1,06:36,83,458,,161.50,,,
,00:01:06,124,9.2,06:31,83,458,,164.00,,,
,00:01:07,125,9.1,06:36,83,458,,166.50,,,
,00:01:08,126,9.1,06:36,83,458,,169.00,,,
,00:01:09,127,9.2,06:31,83,458,,171.50,,,
,00:01:10,128,9.1,06:36,83,458,,174.10,,,
,00:01:11,128,9.1,06:36,83,458,,176.60,,,
,00:01:12,129,9.2,06:31,83,459,,179.10,,,
