Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,84,1.3,46:09,0,0,,0.00,,,
,00:00:01,84,1.3,46:09,0,0,,0.00,,,
,00:00:02,86,2.0,30:00,0,0,,0.10,,,
,00:00:03,87,3.0,20:00,0,0,,0.30,,,
,00:00:04,89,4.4,13:38,0,0,,2.20,,,
,00:00:05,92,6.0,10:00,42,0,,4.80,,,
,00:00:06,93,7.6,07:54,75,0,,7.80,,,
,00:00:07,95,8.8,06:49,84,0,,11.00,,,
,00:00:08,97,9.3,06:27,85,0,,14.00,,,
,00:00:09,99,9.5,06:19,86,0,,17.22,,,
,00:00:10,100,9.4,06:23,86,0,,20.44,,,
,00:00:11,101,9.2,06:31,86,0,,23.67,,,
,00:00:12,101,9.2,06:31,86,0,,26.89,,,
,00:00:13,102,9.1,06:36,85,0,,30.11,,,
,00:00:14,102,9.2,06:31,85,0,,33.33,,,
,00:00:15,103,9.2,06:31,84,0,,36.56,,,
,00:00:16,104,9.2,06:31,83,0,,39.78,,,
,00:00:17,105,9.0,06:40,83,0,,43.00,,,
,00:00:18,106,8.9,06:44,83,0,,46.22,,,
,00:00:19,107,8.6,06:59,83,0,,49.44,,,
,00:00:20,108,8.3,07:14,83,0,,52.67,,,
,00:00:21,109,7.8,07:42,83,0,,55.89,,,
,00:00:22,110,7.1,08:27,83,0,,59.11,,,
,00:00:23,111,6.3,09:31,83,0,,62.33,,,
,00:00:24,112,5.5,10:55,83,0,,65.56,,,
,00:00:25,114,4.8,12:30,83,0,,67.40,,,
,00:00:26,115,4.5,13:20,83,0,,68.00,,,
,00:00:27,116,4.7,12:46,83,0,,68.50,,,
,00:00:28,117,5.0,12:00,82,0,,69.20,,,
,00:00:29,117,5.4,11:07,81,0,,70.60,,,
,00:00:30,118,6.0,10:00,80,0,,72.60,,,
,00:00:31,117,6.5,09:14,80,0,,75.20,,,
,00:00:32,117,6.8,08:49,80,0,,78.00,,,
,00:00:33,117,7.1,08:27,80,0,,81.10,,,
,00:00:34,116,7.4,08:06,82,0,,84.30,,,
,00:00:35,117,7.6,07:54,82,0,,87.30,,,
,00:00:36,117,7.8,07:42,82,0,,90.52,,,
,00:00:37,118,8.0,07:30,82,0,,93.74,,,
,00:00:38,119,8.1,07:24,82,0,,96.97,,,
,00:00:39,120,8.1,07:24,82,0,,100.00,,,
,00:00:40,121,8.2,07:19,82,0,,102.90,,,
,00:00:41,123,8.2,07:19,83,0,,105.80,,,
,00:00:42,123,8.3,07:14,84,0,,108.50,,,
,00:00:43,125,8.5,07:04,84,0,,111.50,,,
,00:00:44,126,8.7,06:54,84,0,,114.72,,,
,00:00:45,127,9.0,06:40,84,0,,117.94,,,
,00:00:46,129,9.3,06:27,83,0,,121.17,,,
,00:00:47,130,9.5,06:19,83,0,,124.39,,,
,00:00:48,131,9.6,06:15,83,0,,127.61,,,
,00:00:49,131,9.5,06:19,83,0,,130.83,,,
,00:00:50,133,9.6,06:15,83,0,,134.06,,,
,00:00:51,133,9.6,06:15,83,0,,137.28,,,
,00:00:52,134,9.6,06:15,83,0,,140.50,,,
,00:00:53,134,9.7,06:11,83,0,,143.72,,,
,00:00:54,134,9.7,06:11,84,0,,146.94,,,
,00:00:55,134,9.7,06:11,84,0,,150.17,,,
,00:00:56,135,9.7,06:11,84,0,,152.60,,,
,00:00:57,134,9.7,06:11,84,0,,155.00,,,
,00:00:58,134,9.8,06:07,83,190,,157.40,,,
,00:00:59,134,9.8,06:07,83,190,,159.90,,,
,00:01:00,135,9.8,06:07,84,190,,162.60,,,
,00:01:01,134,9.8,06:07,84,190,,165.10,,,
,00:01:02,135,9.8,06:07,84,190,,167.70,,,
,00:01:03,135,9.8,06:07,83,190,,170.30,,,
,00:01:04,135,9.8,06:07,83,190,,173.00,,,
,00:01:05,135,9.8,06:07,83,190,,175.60,,,
,00:01:06,135,9.8,06:07,84,191,,178.30,,,
,00:01:07,135,9.8,06:07,84,191,,181.10,,,
,00:01:08,135,9.9,06:04,84,191,,184.10,,,
,00:01:09,135,9.9,06:04,84,191,,187.00,,,
,00:01:10,135,9.9,06:04,84,191,,190.10,,,
,00:01:11,135,9.9,06:04,84,191,,193.10,,,
,00:01:12,135,9.9,06:04,84,191,,196.00,,,
,00:01:13,136,9.9,06:04,84,191,,198.90,,,
,00:01:14,136,9.9,06:04,84,191,,201.70,,,
,00:01:15,136,9.9,06:04,84,191,,204.60,,,
,00:01:16,136,9.9,06:04,84,191,,207.40,,,
,00:01:17,137,10.0,06:00,84,191,,210.20,,,
,00:01:18,137,10.0,06:00,84,192,,213.10,,,
,00:01:19,137,9.9,06:04,84,192,,216.00,,,
,00:01:20,136,9.9,06:04,84,192,,219.00,,,
,00:01:21,136,9.9,06:04,83,192,,221.80,,,
,00:01:22,135,10.0,06:00,83,192,,224.50,,,
,00:01:23,135,10.0,06:00,83,192,,227.10,,,
,00:01:24,135,10.0,06:00,83,193,,230.10,,,
,00:01:25,135,10.0,06:00,83,193,,232.80,,,
,00:01:26,134,10.0,06:00,83,193,,235.50,,,
,00:01:27,134,10.0,06:00,83,193,,238.00,,,
,00:01:28,134,10.0,06:00,84,194,,240.40,,,
,00:01:29,134,9.9,06:04,84,194,,242.80,,,
,00:01:30,134,9.9,06:04,84,194,,245.40,,,
,00:01:31,135,9.9,06:04,84,194,,248.00,,,
,00:01:32,134,9.9,06:04,84,194,,250.80,,,
,00:01:33,134,9.9,06:04,84,194,,253.30,,,
,00:01:34,133,9.9,06:04,83,195,,255.80,,,
,00:01:35,132,9.9,06:04,83,195,,258.40,,,
,00:01:36,131,9.9,06:04,84,195,,261.00,,,
,00:01:37,130,9.9,06:04,84,195,,263.80,,,
,00:01:38,129,9.9,06:04,84,195,,266.80,,,
,00:01:39,130,9.9,06:04,84,195,,269.90,,,
,00:01:40,130,9.8,06:07,84,196,,272.90,,,
,00:01:41,131,9.8,06:07,84,196,,275.70,,,
,00:01:42,131,9.8,06:07,84,196,,278.40,,,
,00:01:43,132,9.8,06:07,84,196,,280.90,,,
,00:01:44,132,9.8,06:07,84,196,,283.60,,,
,00:01:45,133,9.8,06:07,84,196,,286.40,,,
,00:01:46,133,9.8,06:07,84,197,,289.30,,,
,00:01:47,133,9.8,06:07,84,197,,292.00,,,
,00:01:48,133,9.8,06:07,84,197,,294.60,,,
,00:01:49,133,9.8,06:07,84,197,,297.30,,,
,00:01:50,133,9.8,06:07,84,197,,300.20,,,
,00:01:51,133,9.8,06:07,84,197,,303.20,,,
,00:01:52,133,9.8,06:07,84,198,,306.30,,,
,00:01:53,133,9.8,06:07,84,198,,309.00,,,
,00:01:54,133,9.8,06:07,84,198,,311.50,,,
,00:01:55,133,9.8,06:07,84,198,,313.90,,,
,00:01:56,133,9.8,06:07,84,198,,316.60,,,
,00:01:57,133,9.8,06:07,84,198,,319.40,,,
,00:01:58,132,9.8,06:07,83,199,,322.30,,,
,00:01:59,132,9.8,06:07,84,199,,325.20,,,
,00:02:00,132,9.8,06:07,84,199,,328.10,,,
,00:02:01,132,9.8,06:07,84,199,,330.80,,,
,00:02:02,132,9.8,06:07,84,199,,333.60,,,
,00:02:03,132,9.9,06:04,84,199,,336.50,,,
,00:02:04,131,9.9,06:04,84,200,,339.50,,,
,00:02:05,131,9.9,06:04,83,200,,342.30,,,
,00:02:06,131,9.9,06:04,84,200,,345.20,,,
,00:02:07,131,9.9,06:04,83,200,,348.10,,,
,00:02:08,131,10.0,06:00,84,200,,350.90,,,
,00:02:09,130,10.0,06:00,84,200,,353.90,,,
,00:02:10,130,10.0,06:00,84,201,,357.12,,,
,00:02:11,130,10.0,06:00,84,201,,360.34,,,
,00:02:12,130,10.0,06:00,84,201,,363.57,,,
,00:02:13,130,10.0,06:00,84,201,,366.50,,,
,00:02:14,130,10.0,06:00,84,201,,369.40,,,
,00:02:15,131,10.0,06:00,84,201,,372.20,,,
,00:02:16,131,10.0,06:00,84,201,,374.90,,,
,00:02:17,132,10.0,06:00,84,201,,377.50,,,
,00:02:18,131,10.0,06:00,84,201,,379.90,,,
,00:02:19,131,10.0,06:00,84,201,,382.20,,,
,00:02:20,131,10.0,06:00,84,202,,384.70,,,
,00:02:21,131,10.0,06:00,84,202,,387.30,,,
,00:02:22,131,10.0,06:00,84,202,,390.00,,,
,00:02:23,130,10.0,06:00,83,202,,392.70,,,
,00:02:24,130,10.0,06:00,83,202,,395.30,,,
,00:02:25,130,9.9,06:04,84,202,,398.10,,,
,00:02:26,130,9.9,06:04,84,202,,400.80,,,
,00:02:27,131,9.9,06:04,84,202,,403.60,,,
,00:02:28,131,9.9,06:04,83,202,,406.30,,,
,00:02:29,132,9.9,06:04,83,202,,408.80,,,
,00:02:30,133,9.9,06:04,83,202,,411.30,,,
,00:02:31,133,9.8,06:07,83,202,,413.70,,,
,00:02:32,133,9.8,06:07,83,202,,416.20,,,
,00:02:33,133,9.8,06:07,83,202,,418.60,,,
,00:02:34,133,9.8,06:07,83,201,,420.90,,,
,00:02:35,132,9.7,06:11,83,201,,423.20,,,
,00:02:36,132,9.7,06:11,83,201,,425.60,,,
,00:02:37,132,9.7,06:11,83,201,,428.10,,,
,00:02:38,131,9.7,06:11,83,201,,430.70,,,
,00:02:39,131,9.7,06:11,83,201,,433.00,,,
,00:02:40,131,9.6,06:15,84,200,,435.20,,,
,00:02:41,131,9.6,06:15,84,200,,437.40,,,
,00:02:42,131,9.6,06:15,84,199,,439.80,,,
,00:02:43,131,9.6,06:15,83,199,,442.50,,,
,00:02:44,131,9.6,06:15,83,199,,445.00,,,
,00:02:45,131,9.6,06:15,83,199,,447.60,,,
