Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,92,5.4,11:07,0,48,,3.80,,,
,00:00:01,92,5.4,11:07,0,48,,3.80,,,
,00:00:02,93,5.7,10:32,0,48,,6.40,,,
,00:00:03,95,6.2,09:41,0,49,,9.00,,,
,00:00:04,95,6.6,09:05,0,49,,11.70,,,
,00:00:05,95,6.8,08:49,0,49,,14.30,,,
,00:00:06,96,6.8,08:49,22,49,,16.80,,,
,00:00:07,96,6.5,09:14,62,49,,18.70,,,
,00:00:08,98,6.2,09:41,73,49,,20.70,,,
,00:00:09,99,6.2,09:41,83,50,,22.70,,,
,00:00:10,99,6.1,09:50,85,50,,25.10,,,
,00:00:11,99,6.1,09:50,86,50,,27.20,,,
,00:00:12,99,6.1,09:50,86,50,,29.20,,,
,00:00:13,99,6.1,09:50,86,50,,31.30,,,
,00:00:14,101,6.3,09:31,86,50,,34.30,,,
,00:00:15,101,6.5,09:14,85,51,,37.80,,,
,00:00:16,101,6.8,08:49,85,51,,41.40,,,
,00:00:17,101,7.0,08:34,85,51,,44.80,,,
,00:00:18,101,7.3,08:13,85,51,,48.40,,,
,00:00:19,101,7.9,07:36,85,51,,52.10,,,
,00:00:20,101,8.3,07:14,85,51,,55.70,,,
,00:00:21,101,8.7,06:54,85,50,,59.20,,,
,00:00:22,104,8.9,06:44,84,50,,62.40,,,
,00:00:23,104,9.0,06:40,83,50,,65.20,,,
,00:00:24,104,9.2,06:31,83,50,,67.50,,,
,00:00:25,104,9.2,06:31,83,50,,69.00,,,
,00:00:26,104,9.2,06:31,87,50,,69.90,,,
,00:00:27,104,9.3,06:27,88,49,,70.40,,,
,00:00:28,110,9.3,06:27,89,49,,71.60,,,
,00:00:29,110,9.3,06:27,89,48,,72.90,,,
,00:00:30,110,9.4,06:23,89,48,,74.20,,,
,00:00:31,110,9.4,06:23,89,48,,75.30,,,
,00:00:32,110,9.4,06:23,89,48,,77.90,,,
