Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,95,2.1,28:34,0,0,,0.00,,,
,00:00:01,97,3.0,20:00,0,0,,0.00,,,
,00:00:02,96,4.2,14:17,0,0,,2.20,,,
,00:00:03,98,5.2,11:32,42,0,,5.78,,,
,00:00:04,100,6.3,09:31,74,0,,9.37,,,
,00:00:05,100,7.2,08:20,82,0,,12.30,,,
,00:00:06,102,8.0,07:30,83,0,,15.60,,,
,00:00:07,104,8.5,07:04,85,0,,19.10,,,
,00:00:08,104,8.8,06:49,85,0,,22.68,,,
,00:00:09,106,9.3,06:27,86,0,,26.27,,,
,00:00:10,108,9.5,06:19,86,0,,29.85,,,
,00:00:11,109,9.6,06:15,85,0,,33.43,,,
,00:00:12,110,9.7,06:11,85,0,,37.02,,,
,00:00:13,111,9.7,06:11,85,0,,40.60,,,
,00:00:14,111,9.3,06:27,85,0,,44.18,,,
,00:00:15,112,9.0,06:40,85,0,,47.77,,,
,00:00:16,112,8.6,06:59,85,0,,50.70,,,
,00:00:17,113,8.4,07:09,86,0,,53.30,,,
,00:00:18,113,8.2,07:19,86,0,,55.80,,,
,00:00:19,113,7.9,07:36,86,0,,58.00,,,
,00:00:20,114,8.2,07:19,86,0,,60.10,,,
,00:00:21,114,8.4,07:09,85,0,,62.50,,,
,00:00:22,115,8.7,06:54,85,0,,65.10,,,
,00:00:23,115,9.0,06:40,86,0,,67.90,,,
,00:00:24,116,9.0,06:40,86,0,,70.70,,,
,00:00:25,117,8.8,06:49,85,0,,73.50,,,
,00:00:26,117,8.2,07:19,85,0,,76.30,,,
,00:00:27,118,8.0,07:30,85,0,,79.10,,,
,00:00:28,118,7.7,07:48,85,0,,81.70,,,
,00:00:29,118,8.0,07:30,85,0,,84.30,,,
,00:00:30,118,8.2,07:19,85,0,,87.00,,,
,00:00:31,118,8.6,06:59,85,0,,89.80,,,
,00:00:32,118,9.0,06:40,85,0,,92.50,,,
,00:00:33,117,9.2,06:31,85,0,,95.60,,,
,00:00:34,117,9.2,06:31,85,0,,98.60,,,
,00:00:35,117,9.0,06:40,85,0,,101.70,,,
,00:00:36,116,8.9,06:44,85,0,,104.90,,,
,00:00:37,116,8.8,06:49,85,0,,108.00,,,
,00:00:38,116,8.9,06:44,85,0,,111.20,,,
,00:00:39,117,8.6,06:59,85,0,,114.10,,,
,00:00:40,117,8.4,07:09,85,0,,117.00,,,
,00:00:41,118,8.5,07:04,85,0,,119.90,,,
,00:00:42,119,8.4,07:09,85,0,,122.80,,,
,00:00:43,120,8.2,07:19,85,0,,126.00,,,
,00:00:44,121,8.2,07:19,85,0,,129.30,,,
,00:00:45,122,8.3,07:14,85,0,,132.88,,,
,00:00:46,123,8.2,07:19,84,0,,136.47,,,
