Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,100,0.0,00:00,0,0,,0.00,,,
,00:00:01,100,0.0,00:00,0,0,,0.00,,,
,00:00:02,109,0.0,00:00,0,0,,0.00,,,
,00:00:03,109,1.9,31:35,0,0,,0.00,,,
,00:00:04,109,3.3,18:11,42,0,,2.60,,,
,00:00:05,123,4.8,12:30,63,0,,5.77,,,
,00:00:06,123,6.3,09:31,79,0,,8.93,,,
,00:00:07,123,7.5,08:00,82,0,,12.10,,,
,00:00:08,123,8.0,07:30,83,0,,15.27,,,
,00:00:09,123,8.3,07:14,84,0,,18.43,,,
,00:00:10,138,8.3,07:14,84,0,,21.60,,,
,00:00:11,138,8.2,07:19,84,0,,24.77,,,
,00:00:12,138,8.1,07:24,83,0,,27.93,,,
,00:00:13,138,7.9,07:36,81,0,,31.10,,,
,00:00:14,131,7.4,08:06,80,0,,34.27,,,
,00:00:15,131,7.0,08:34,80,0,,37.43,,,
,00:00:16,131,6.6,09:05,82,0,,40.60,,,
,00:00:17,131,6.2,09:41,83,0,,43.77,,,
,00:00:18,131,5.8,10:21,84,0,,46.93,,,
,00:00:19,131,5.7,10:32,84,0,,50.10,,,
,00:00:20,141,5.6,10:43,83,0,,53.20,,,
,00:00:21,141,5.7,10:32,84,0,,54.10,,,
,00:00:22,152,5.8,10:21,83,0,,55.90,,,
,00:00:23,152,6.0,10:00,83,0,,57.50,,,
,00:00:24,152,6.1,09:50,84,0,,58.90,,,
,00:00:25,150,6.2,09:41,84,0,,60.10,,,
,00:00:26,150,6.1,09:50,84,0,,61.60,,,
,00:00:27,150,6.2,09:41,84,0,,63.50,,,
,00:00:28,150,6.2,09:41,84,0,,65.60,,,
,00:00:29,150,6.3,09:31,84,0,,67.70,,,
,00:00:30,150,6.5,09:14,84,0,,69.90,,,
,00:00:31,143,6.8,08:49,84,0,,72.30,,,
,00:00:32,143,7.0,08:34,84,0,,74.90,,,
,00:00:33,143,7.1,08:27,84,0,,77.60,,,
,00:00:34,145,7.1,08:27,84,0,,80.20,,,
,00:00:35,145,6.9,08:42,83,0,,82.80,,,
,00:00:36,146,6.7,08:57,83,0,,85.30,,,
,00:00:37,146,6.6,09:05,83,0,,87.80,,,
,00:00:38,146,6.5,09:14,83,0,,90.40,,,
,00:00:39,148,6.5,09:14,83,0,,93.00,,,
,00:00:40,151,6.6,09:05,83,0,,95.40,,,
,00:00:41,151,6.7,08:57,83,0,,97.70,,,
,00:00:42,151,6.6,09:05,84,0,,99.90,,,
,00:00:43,154,6.4,09:23,83,0,,102.30,,,
,00:00:44,155,6.3,09:31,83,0,,104.70,,,
,00:00:45,155,6.0,10:00,83,0,,107.20,,,
,00:00:46,155,5.5,10:55,83,0,,109.60,,,
,00:00:47,156,5.2,11:32,83,0,,111.70,,,
,00:00:48,156,5.0,12:00,83,0,,113.80,,,
,00:00:49,156,4.9,12:15,83,0,,116.00,,,
