Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,83,0.0,00:00,0,0,,0.00,,,
,00:00:01,83,0.0,00:00,0,0,,0.00,,,
,00:00:02,83,0.0,00:00,0,0,,0.00,,,
,00:00:03,85,2.5,24:00,0,0,,0.00,,,
,00:00:04,86,3.6,16:40,0,0,,0.00,,,
,00:00:05,88,4.9,12:15,63,0,,3.75,,,
,00:00:06,89,5.8,10:21,74,0,,5.40,,,
,00:00:07,92,6.7,08:57,82,0,,7.20,,,
,00:00:08,94,7.3,08:13,84,0,,9.30,,,
,00:00:09,95,7.6,07:54,84,0,,11.90,,,
,00:00:10,98,7.8,07:42,84,0,,15.40,,,
,00:00:11,100,7.9,07:36,84,0,,18.90,,,
,00:00:12,102,7.8,07:42,84,0,,22.20,,,
,00:00:13,103,7.6,07:54,84,0,,25.10,,,
,00:00:14,104,7.4,08:06,84,0,,27.60,,,
,00:00:15,106,7.3,08:13,84,0,,29.80,,,
,00:00:16,107,7.0,08:34,84,0,,31.90,,,
,00:00:17,108,6.8,08:49,84,0,,33.90,,,
,00:00:18,109,6.7,08:57,84,0,,35.80,,,
,00:00:19,109,6.9,08:42,84,0,,37.30,,,
,00:00:20,109,7.2,08:20,84,0,,38.90,,,
,00:00:21,109,7.6,07:54,84,0,,40.90,,,
,00:00:22,109,8.0,07:30,84,0,,43.60,,,
,00:00:23,110,8.3,07:14,84,0,,46.80,,,
,00:00:24,110,8.2,07:19,84,0,,50.00,,,
,00:00:25,110,7.6,07:54,84,0,,53.00,,,
,00:00:26,110,7.4,08:06,85,0,,56.10,,,
,00:00:27,110,7.3,08:13,86,0,,59.40,,,
,00:00:28,110,7.4,08:06,85,0,,63.10,,,
,00:00:29,111,7.3,08:13,85,0,,66.85,,,
,00:00:30,111,7.9,07:36,85,0,,70.50,,,
,00:00:31,112,8.4,07:09,86,0,,74.20,,,
,00:00:32,113,8.7,06:54,85,0,,77.95,,,
,00:00:33,113,8.7,06:54,85,0,,81.70,,,
,00:00:34,114,8.6,06:59,85,0,,85.45,,,
,00:00:35,115,8.5,07:04,85,0,,89.20,,,
,00:00:36,116,8.4,07:09,85,0,,92.95,,,
,00:00:37,116,8.4,07:09,85,0,,96.70,,,
,00:00:38,117,8.7,06:54,85,0,,100.45,,,
,00:00:39,118,9.1,06:36,85,0,,104.20,,,
,00:00:40,119,9.0,06:40,85,0,,107.95,,,
,00:00:41,119,8.8,06:49,85,0,,111.70,,,
,00:00:42,120,8.5,07:04,85,0,,115.45,,,
