Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,93,0.0,00:00,0,0,,0.00,,,
,00:00:01,93,0.0,00:00,0,0,,0.00,,,
,00:00:02,94,0.0,00:00,0,0,,0.00,,,
,00:00:03,95,2.5,24:00,21,0,,0.00,,,
,00:00:04,98,3.6,16:40,68,0,,2.70,,,
,00:00:05,101,4.8,12:30,76,0,,5.10,,,
,00:00:06,101,6.2,09:41,80,0,,8.00,,,
,00:00:07,104,7.2,08:20,82,0,,11.22,,,
,00:00:08,104,7.8,07:42,83,0,,14.44,,,
,00:00:09,107,8.5,07:04,83,0,,17.67,,,
,00:00:10,109,9.1,06:36,83,0,,20.89,,,
,00:00:11,111,9.4,06:23,83,0,,24.11,,,
,00:00:12,113,9.4,06:23,83,0,,27.33,,,
,00:00:13,114,9.6,06:15,83,0,,30.56,,,
,00:00:14,115,9.5,06:19,83,0,,33.78,,,
,00:00:15,115,9.4,06:23,83,0,,37.00,,,
,00:00:16,117,9.2,06:31,83,0,,40.22,,,
,00:00:17,118,9.1,06:36,83,0,,43.44,,,
,00:00:18,119,8.9,06:44,83,0,,46.67,,,
,00:00:19,119,9.0,06:40,85,0,,49.89,,,
,00:00:20,120,9.0,06:40,86,0,,53.11,,,
,00:00:21,121,9.1,06:36,85,0,,56.33,,,
,00:00:22,121,9.3,06:27,84,0,,59.56,,,
,00:00:23,122,9.0,06:40,84,0,,62.78,,,
,00:00:24,122,8.7,06:54,84,0,,66.00,,,
,00:00:25,122,8.2,07:19,84,0,,69.22,,,
,00:00:26,122,7.9,07:36,84,0,,72.44,,,
,00:00:27,124,7.6,07:54,84,0,,75.67,,,
,00:00:28,125,7.8,07:42,84,0,,78.89,,,
,00:00:29,125,8.2,07:19,85,0,,82.11,,,
,00:00:30,125,8.8,06:49,85,0,,84.60,,,
,00:00:31,127,9.3,06:27,84,0,,87.10,,,
,00:00:32,127,9.7,06:11,84,0,,89.80,,,
,00:00:33,138,9.8,06:07,84,0,,92.50,,,
,00:00:34,138,9.6,06:15,84,0,,95.40,,,
,00:00:35,138,9.5,06:19,84,0,,98.50,,,
,00:00:36,137,9.4,06:23,84,0,,101.40,,,
,00:00:37,137,9.5,06:19,84,0,,104.40,,,
,00:00:38,136,9.6,06:15,84,0,,107.40,,,
,00:00:39,136,10.1,05:56,84,0,,110.30,,,
,00:00:40,136,10.2,05:53,84,0,,113.30,,,
,00:00:41,135,10.1,05:56,84,0,,116.20,,,
,00:00:42,135,10.0,06:00,84,0,,119.30,,,
