Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,86,0.0,00:00,0,0,,0.00,,,
,00:00:01,86,0.0,00:00,0,0,,0.00,,,
,00:00:02,86,0.0,00:00,0,0,,0.00,,,
,00:00:03,86,0.0,00:00,0,0,,0.00,,,
,00:00:04,97,2.4,25:00,0,0,,0.00,,,
,00:00:05,97,4.0,15:00,30,0,,0.00,,,
,00:00:06,106,5.7,10:32,57,0,,3.22,,,
,00:00:07,114,7.1,08:27,78,0,,6.44,,,
,00:00:08,114,8.1,07:24,81,0,,9.67,,,
,00:00:09,114,8.6,06:59,83,0,,12.89,,,
,00:00:10,114,8.4,07:09,84,0,,16.11,,,
,00:00:11,110,7.9,07:36,84,0,,19.33,,,
,00:00:12,107,7.2,08:20,84,0,,22.56,,,
,00:00:13,107,6.4,09:23,84,0,,25.78,,,
,00:00:14,103,5.8,10:21,84,0,,29.00,,,
,00:00:15,103,5.6,10:43,84,0,,32.22,,,
,00:00:16,101,5.4,11:07,85,0,,35.44,,,
,00:00:17,97,5.8,10:21,86,0,,38.67,,,
,00:00:18,97,6.4,09:23,85,0,,41.89,,,
,00:00:19,96,6.9,08:42,85,0,,45.11,,,
,00:00:20,94,7.2,08:20,85,0,,48.33,,,
,00:00:21,94,7.5,08:00,86,0,,51.56,,,
,00:00:22,93,7.7,07:48,85,0,,54.78,,,
,00:00:23,92,7.7,07:48,85,0,,58.00,,,
,00:00:24,92,7.8,07:42,85,0,,61.22,,,
,00:00:25,91,7.8,07:42,85,0,,64.40,,,
,00:00:26,90,7.9,07:36,86,0,,67.20,,,
,00:00:27,89,8.0,07:30,86,0,,70.20,,,
,00:00:28,89,8.2,07:19,86,0,,73.00,,,
,00:00:29,89,8.3,07:14,85,0,,75.90,,,
,00:00:30,89,8.5,07:04,85,0,,78.80,,,
,00:00:31,89,8.6,06:59,85,0,,81.80,,,
,00:00:32,89,8.5,07:04,85,0,,85.02,,,
