Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,102,0.0,00:00,0,0,,0.00,,,
,00:00:01,102,0.0,00:00,0,0,,0.00,,,
,00:00:02,102,0.0,00:00,0,0,,0.00,,,
,00:00:03,102,1.6,37:30,0,0,,0.00,,,
,00:00:04,106,2.5,24:00,64,0,,0.00,,,
,00:00:05,108,3.4,17:39,75,0,,3.47,,,
,00:00:06,110,4.4,13:38,82,0,,6.94,,,
,00:00:07,110,5.3,11:19,83,0,,10.42,,,
,00:00:08,110,5.9,10:10,84,0,,13.89,,,
,00:00:09,111,6.2,09:41,84,0,,17.36,,,
,00:00:10,112,6.5,09:14,84,0,,20.83,,,
,00:00:11,112,6.6,09:05,84,0,,24.31,,,
,00:00:12,112,6.6,09:05,84,0,,27.60,,,
,00:00:13,112,6.5,09:14,86,0,,30.70,,,
,00:00:14,113,6.4,09:23,86,0,,32.80,,,
,00:00:15,113,6.2,09:41,86,0,,34.30,,,
,00:00:16,114,6.1,09:50,86,0,,36.50,,,
,00:00:17,114,6.2,09:41,86,0,,39.30,,,
,00:00:18,115,6.4,09:23,86,0,,41.50,,,
,00:00:19,115,6.7,08:57,86,0,,43.50,,,
,00:00:20,116,6.9,08:42,86,0,,45.70,,,
,00:00:21,116,7.5,08:00,86,0,,48.90,,,
,00:00:22,116,8.0,07:30,86,0,,52.30,,,
,00:00:23,116,8.3,07:14,86,0,,55.77,,,
,00:00:24,116,8.7,06:54,86,0,,58.70,,,
,00:00:25,118,9.0,06:40,88,0,,61.50,,,
,00:00:26,118,9.0,06:40,89,0,,64.50,,,
,00:00:27,118,9.0,06:40,89,0,,67.40,,,
,00:00:28,119,9.3,06:27,87,0,,70.40,,,
,00:00:29,119,9.3,06:27,86,0,,73.50,,,
,00:00:30,119,9.2,06:31,86,0,,76.60,,,
,00:00:31,119,9.0,06:40,86,0,,79.60,,,
,00:00:32,123,8.8,06:49,85,0,,82.10,,,
,00:00:33,123,8.3,07:14,85,0,,84.30,,,
,00:00:34,123,7.9,07:36,85,0,,86.30,,,
,00:00:35,123,7.6,07:54,85,0,,88.40,,,
,00:00:36,123,7.4,08:06,85,0,,90.50,,,
,00:00:37,125,7.2,08:20,86,0,,92.20,,,
,00:00:38,125,6.9,08:42,86,0,,93.90,,,
,00:00:39,125,6.6,09:05,85,0,,95.70,,,
,00:00:40,126,6.3,09:31,85,0,,97.40,,,
,00:00:41,127,6.0,10:00,85,0,,99.00,,,
,00:00:42,128,5.6,10:43,85,0,,100.80,,,
,00:00:43,128,5.5,10:55,85,0,,102.60,,,
,00:00:44,132,5.6,10:43,85,0,,104.50,,,
,00:00:45,132,5.8,10:21,85,0,,106.40,,,
,00:00:46,136,6.2,09:41,86,0,,108.60,,,
,00:00:47,136,6.7,08:57,85,0,,111.20,,,
,00:00:48,135,7.0,08:34,86,0,,114.00,,,
,00:00:49,134,7.0,08:34,85,0,,117.20,,,
,00:00:50,134,6.6,09:05,85,0,,120.40,,,
,00:00:51,134,6.0,10:00,86,0,,123.40,,,
,00:00:52,134,5.6,10:43,86,0,,126.40,,,
,00:00:53,134,5.8,10:21,86,0,,129.20,,,
,00:00:54,130,5.9,10:10,86,30,,132.00,,,
,00:00:55,132,6.1,09:50,86,30,,134.50,,,
,00:00:56,133,6.3,09:31,86,30,,136.70,,,
,00:00:57,133,6.5,09:14,86,30,,138.80,,,
,00:00:58,134,6.6,09:05,85,30,,141.00,,,
,00:00:59,134,6.8,08:49,85,30,,143.50,,,
,00:01:00,134,6.9,08:42,85,30,,146.30,,,
,00:01:01,135,7.0,08:34,85,30,,149.20,,,
,00:01:02,136,7.1,08:27,86,31,,152.10,,,
,00:01:03,136,7.3,08:13,85,31,,155.00,,,
,00:01:04,137,7.4,08:06,85,31,,157.90,,,
,00:01:05,137,7.5,08:00,85,31,,160.70,,,
,00:01:06,137,7.6,07:54,85,32,,163.60,,,
,00:01:07,137,7.7,07:48,85,32,,166.30,,,
,00:01:08,137,7.8,07:42,85,32,,169.10,,,
,00:01:09,137,7.8,07:42,85,32,,171.70,,,
,00:01:10,137,7.8,07:42,85,33,,174.10,,,
,00:01:11,137,7.9,07:36,85,33,,176.30,,,
,00:01:12,136,7.9,07:36,85,33,,178.00,,,
,00:01:13,136,8.0,07:30,85,33,,179.50,,,
,00:01:14,136,8.0,07:30,85,33,,180.80,,,
,00:01:15,136,8.1,07:24,86,33,,181.90,,,
,00:01:16,136,8.2,07:19,86,33,,183.40,,,
,00:01:17,136,8.3,07:14,86,33,,185.50,,,
,00:01:18,136,8.3,07:14,86,33,,188.00,,,
,00:01:19,136,8.4,07:09,86,33,,190.90,,,
,00:01:20,136,8.5,07:04,86,32,,194.30,,,
,00:01:21,136,8.6,06:59,86,32,,197.77,,,
,00:01:22,136,8.7,06:54,85,32,,201.24,,,
,00:01:23,136,8.8,06:49,85,32,,204.72,,,
,00:01:24,136,8.8,06:49,86,32,,208.19,,,
,00:01:25,136,8.8,06:49,85,32,,211.66,,,
,00:01:26,136,8.9,06:44,85,32,,214.30,,,
,00:01:27,136,8.9,06:44,85,32,,216.20,,,
,00:01:28,136,9.0,06:40,85,32,,218.30,,,
,00:01:29,136,9.0,06:40,85,32,,220.60,,,
,00:01:30,136,9.1,06:36,85,32,,223.10,,,
,00:01:31,135,9.1,06:36,85,32,,225.80,,,
,00:01:32,135,9.2,06:31,86,32,,228.80,,,
,00:01:33,135,9.2,06:31,85,32,,232.10,,,
,00:01:34,135,9.2,06:31,85,32,,235.20,,,
,00:01:35,135,9.3,06:27,85,32,,238.67,,,
,00:01:36,135,9.4,06:23,85,32,,242.00,,,
,00:01:37,136,9.4,06:23,85,32,,245.10,,,
,00:01:38,136,9.4,06:23,85,32,,248.00,,,
,00:01:39,139,9.5,06:19,85,32,,251.00,,,
,00:01:40,139,9.5,06:19,85,32,,254.00,,,
,00:01:41,139,9.6,06:15,85,32,,256.90,,,
,00:01:42,139,9.6,06:15,85,31,,259.70,,,
,00:01:43,139,9.8,06:07,85,31,,262.70,,,
,00:01:44,144,9.9,06:04,86,30,,265.60,,,
,00:01:45,144,9.9,06:04,86,30,,268.40,,,
,00:01:46,144,10.0,06:00,86,30,,271.30,,,
,00:01:47,141,10.1,05:56,86,30,,274.70,,,
,00:01:48,139,10.1,05:56,85,29,,278.00,,,
,00:01:49,139,10.2,05:53,85,29,,280.70,,,
,00:01:50,136,10.2,05:53,85,28,,283.40,,,
,00:01:51,136,10.3,05:50,85,28,,286.60,,,
,00:01:52,136,10.3,05:50,85,28,,290.07,,,
,00:01:53,135,10.3,05:50,86,28,,293.54,,,
,00:01:54,136,10.4,05:46,86,27,,297.00,,,
,00:01:55,137,10.4,05:46,86,27,,299.60,,,
,00:01:56,136,10.4,05:46,85,27,,301.70,,,
,00:01:57,136,10.4,05:46,85,27,,304.20,,,
,00:01:58,136,10.5,05:43,85,26,,306.80,,,
,00:01:59,136,10.5,05:43,85,26,,309.70,,,
,00:02:00,136,10.5,05:43,85,26,,312.40,,,
,00:02:01,136,10.5,05:43,85,26,,315.20,,,
,00:02:02,131,10.5,05:43,85,26,,317.90,,,
,00:02:03,131,10.6,05:40,85,26,,320.60,,,
,00:02:04,130,10.6,05:40,85,25,,323.40,,,
,00:02:05,130,10.6,05:40,85,25,,326.40,,,
,00:02:06,130,10.6,05:40,85,25,,329.50,,,
,00:02:07,130,10.6,05:40,85,25,,332.70,,,
,00:02:08,130,10.6,05:40,85,25,,335.80,,,
,00:02:09,135,10.7,05:36,85,25,,338.80,,,
,00:02:10,135,10.7,05:36,85,25,,341.90,,,
,00:02:11,135,10.8,05:33,85,25,,345.20,,,
,00:02:12,135,10.8,05:33,85,25,,348.67,,,
,00:02:13,132,10.8,05:33,85,25,,352.14,,,
,00:02:14,132,10.9,05:30,84,25,,355.62,,,
,00:02:15,132,10.9,05:30,84,25,,359.09,,,
,00:02:16,132,11.0,05:27,84,26,,362.56,,,
,00:02:17,132,11.0,05:27,84,26,,366.03,,,
,00:02:18,132,11.0,05:27,84,26,,369.51,,,
,00:02:19,138,11.0,05:27,84,26,,372.80,,,
,00:02:20,138,11.0,05:27,84,27,,375.60,,,
,00:02:21,138,11.0,05:27,84,27,,378.00,,,
,00:02:22,138,10.9,05:30,84,27,,380.30,,,
,00:02:23,139,10.9,05:30,84,27,,382.50,,,
,00:02:24,139,10.9,05:30,84,27,,384.70,,,
,00:02:25,139,10.9,05:30,84,27,,387.00,,,
,00:02:26,139,10.9,05:30,84,27,,389.30,,,
,00:02:27,139,10.9,05:30,84,27,,392.00,,,
,00:02:28,138,10.8,05:33,84,27,,395.00,,,
,00:02:29,140,10.8,05:33,84,27,,398.00,,,
,00:02:30,139,10.8,05:33,84,27,,401.00,,,
,00:02:31,138,10.8,05:33,84,27,,403.60,,,
,00:02:32,138,10.8,05:33,84,26,,406.40,,,
,00:02:33,138,10.7,05:36,85,26,,409.30,,,
,00:02:34,138,10.7,05:36,85,26,,412.10,,,
,00:02:35,138,10.7,05:36,86,26,,414.90,,,
,00:02:36,138,10.7,05:36,85,26,,417.40,,,
,00:02:37,138,10.7,05:36,85,26,,420.00,,,
,00:02:38,138,10.7,05:36,85,25,,422.70,,,
,00:02:39,137,10.7,05:36,85,25,,425.70,,,
,00:02:40,137,10.7,05:36,86,25,,428.80,,,
,00:02:41,136,10.6,05:40,86,25,,431.80,,,
,00:02:42,136,10.6,05:40,86,25,,434.70,,,
,00:02:43,136,10.6,05:40,86,25,,437.60,,,
,00:02:44,136,10.6,05:40,85,26,,440.50,,,
,00:02:45,136,10.6,05:40,86,26,,443.40,,,
,00:02:46,136,10.5,05:43,86,26,,446.00,,,
,00:02:47,135,10.5,05:43,86,26,,448.20,,,
,00:02:48,136,10.5,05:43,86,26,,450.40,,,
,00:02:49,136,10.5,05:43,85,26,,452.50,,,
,00:02:50,136,10.5,05:43,86,27,,455.00,,,
,00:02:51,136,10.5,05:43,86,27,,457.70,,,
,00:02:52,136,10.5,05:43,85,27,,460.60,,,
,00:02:53,137,10.5,05:43,85,27,,463.50,,,
,00:02:54,137,10.5,05:43,85,28,,466.50,,,
,00:02:55,137,10.5,05:43,85,28,,469.50,,,
,00:02:56,137,10.4,05:46,85,28,,472.70,,,
,00:02:57,137,10.4,05:46,85,28,,475.80,,,
,00:02:58,137,10.4,05:46,85,29,,478.80,,,
,00:02:59,140,10.4,05:46,85,29,,481.70,,,
,00:03:00,140,10.4,05:46,86,29,,484.20,,,
,00:03:01,140,10.4,05:46,86,29,,486.80,,,
,00:03:02,140,10.3,05:50,86,30,,489.50,,,
,00:03:03,140,10.3,05:50,86,30,,491.80,,,
,00:03:04,140,10.3,05:50,86,30,,494.20,,,
,00:03:05,142,10.2,05:53,86,30,,496.30,,,
,00:03:06,142,10.2,05:53,85,30,,498.40,,,
,00:03:07,142,10.2,05:53,86,30,,500.50,,,
,00:03:08,142,10.1,05:56,86,31,,502.80,,,
,00:03:09,142,10.1,05:56,86,31,,505.30,,,
,00:03:10,142,10.1,05:56,86,31,,507.70,,,
,00:03:11,142,10.0,06:00,86,31,,510.00,,,
,00:03:12,142,10.0,06:00,86,31,,512.30,,,
,00:03:13,142,9.9,06:04,86,31,,514.80,,,
,00:03:14,142,9.9,06:04,86,31,,517.50,,,
,00:03:15,142,9.9,06:04,86,31,,520.00,,,
,00:03:16,142,9.9,06:04,86,31,,522.50,,,
,00:03:17,141,9.9,06:04,86,31,,524.80,,,
,00:03:18,141,9.9,06:04,86,31,,527.30,,,
,00:03:19,142,9.9,06:04,86,31,,530.00,,,
