Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,108,2.6,23:05,0,0,,0.20,,,
,00:00:01,108,2.6,23:05,0,0,,0.20,,,
,00:00:02,109,3.4,17:39,0,0,,1.60,,,
,00:00:03,111,3.6,16:40,0,0,,2.80,,,
,00:00:04,115,4.0,15:00,0,0,,4.50,,,
,00:00:05,116,4.2,14:17,0,0,,6.30,,,
,00:00:06,117,4.5,13:20,64,0,,7.90,,,
,00:00:07,117,4.7,12:46,75,0,,9.90,,,
,00:00:08,118,5.1,11:46,84,0,,12.80,,,
,00:00:09,118,5.5,10:55,86,0,,15.91,,,
,00:00:10,119,6.2,09:41,86,0,,19.02,,,
,00:00:11,119,6.9,08:42,86,0,,22.13,,,
,00:00:12,120,7.3,08:13,86,0,,25.24,,,
,00:00:13,120,7.6,07:54,86,0,,28.36,,,
,00:00:14,120,7.8,07:42,86,0,,31.47,,,
,00:00:15,120,7.8,07:42,86,0,,34.58,,,
,00:00:16,121,7.7,07:48,86,0,,37.69,,,
,00:00:17,121,7.8,07:42,86,0,,40.80,,,
,00:00:18,121,7.9,07:36,86,0,,43.91,,,
,00:00:19,120,7.9,07:36,86,0,,47.02,,,
,00:00:20,121,8.0,07:30,86,0,,50.13,,,
,00:00:21,121,8.0,07:30,86,0,,53.24,,,
,00:00:22,121,8.1,07:24,86,0,,56.36,,,
,00:00:23,121,8.1,07:24,87,0,,59.47,,,
,00:00:24,122,8.7,06:54,87,0,,62.58,,,
,00:00:25,122,8.9,06:44,87,0,,65.69,,,
,00:00:26,123,9.4,06:23,87,0,,68.80,,,
,00:00:27,123,9.2,06:31,87,0,,71.91,,,
,00:00:28,123,9.0,06:40,87,0,,75.02,,,
,00:00:29,124,8.5,07:04,87,0,,78.13,,,
,00:00:30,124,8.0,07:30,87,0,,81.24,,,
,00:00:31,124,7.0,08:34,87,0,,84.36,,,
